center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses05F_impro01_M003,Ses05F_impro01_M002,Ses05F_impro01_F003,neu,xxx,fru,2,1,1,0,0
Ses05F_impro01_F008,Ses05F_impro01_F007,Ses05F_impro01_M006,neu,fru,fru,1,2,1,0,0
Ses05F_impro01_F017,Ses05F_impro01_F016,Ses05F_impro01_M017,ang,fru,fru,2,1,1,0,0
Ses05F_impro01_F020,Ses05F_impro01_F019,Ses05F_impro01_M020,ang,fru,fru,2,1,1,0,0
Ses05F_impro02_F001,Ses05F_impro02_F000,Ses05F_impro02_M000,sad,xxx,neu,2,1,1,0,0
Ses05F_impro02_F004,Ses05F_impro02_F003,Ses05F_impro02_M002,sad,xxx,xxx,1,2,1,0,0
Ses05F_impro02_M004,Ses05F_impro02_M003,Ses05F_impro02_F005,ang,xxx,sad,2,1,1,0,0
Ses05F_impro02_F008,Ses05F_impro02_F007,Ses05F_impro02_M006,sad,xxx,fru,2,1,1,0,0
Ses05F_impro02_M010,Ses05F_impro02_M009,Ses05F_impro02_F010,ang,xxx,sad,2,1,1,0,0
Ses05F_impro02_M014,Ses05F_impro02_M013,Ses05F_impro02_F013,ang,xxx,fru,1,2,1,0,0
Ses05F_impro02_F021,Ses05F_impro02_F020,Ses05F_impro02_M023,sad,fru,xxx,2,1,1,0,0
Ses05F_impro02_M024,Ses05F_impro02_M023,Ses05F_impro02_F021,sad,xxx,sad,2,1,1,0,0
Ses05F_impro02_F023,Ses05F_impro02_F022,Ses05F_impro02_M025,sad,xxx,sad,2,1,1,0,0
Ses05F_impro02_M029,Ses05F_impro02_M028,Ses05F_impro02_F026,sad,xxx,fru,2,1,1,0,0
Ses05F_impro02_F027,Ses05F_impro02_F026,Ses05F_impro02_M029,sad,fru,sad,2,1,1,0,0
Ses05F_impro02_M031,Ses05F_impro02_M030,Ses05F_impro02_F028,sad,xxx,sad,2,1,1,0,0
Ses05F_impro02_F031,Ses05F_impro02_F030,Ses05F_impro02_M034,sad,xxx,sad,3,1,1,0,0
Ses05F_impro02_F034,Ses05F_impro02_F033,Ses05F_impro02_M037,sad,xxx,xxx,2,1,1,0,0
Ses05F_impro02_M041,Ses05F_impro02_M040,Ses05F_impro02_F037,sad,xxx,sad,2,1,1,0,0
Ses05F_impro03_M003,Ses05F_impro03_M002,Ses05F_impro03_F002,hap,sur,hap,2,1,1,0,0
Ses05F_impro03_M005,Ses05F_impro03_M004,Ses05F_impro03_F004,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_F007,Ses05F_impro03_F006,Ses05F_impro03_M007,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_F011,Ses05F_impro03_F010,Ses05F_impro03_M011,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_M020,Ses05F_impro03_M019,Ses05F_impro03_F019,hap,xxx,xxx,2,1,1,0,0
Ses05F_impro03_F020,Ses05F_impro03_F019,Ses05F_impro03_M020,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_M027,Ses05F_impro03_M026,Ses05F_impro03_F026,hap,xxx,xxx,2,1,1,0,0
Ses05F_impro03_F027,Ses05F_impro03_F026,Ses05F_impro03_M027,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_M030,Ses05F_impro03_M029,Ses05F_impro03_F029,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_M035,Ses05F_impro03_M034,Ses05F_impro03_F034,hap,xxx,hap,2,1,1,0,0
Ses05F_impro03_F039,Ses05F_impro03_F038,Ses05F_impro03_M041,hap,xxx,hap,3,1,1,0,0
