center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses05F_impro01_M000,pad,Ses05F_impro01_F000,neu,pad,neu,None,1,1,None,0
Ses05F_impro01_F003,Ses05F_impro01_F002,Ses05F_impro01_M000,fru,fru,neu,1,2,0,0,0
Ses05F_impro01_F004,Ses05F_impro01_F003,Ses05F_impro01_M000,fru,fru,neu,1,3,0,0,0
Ses05F_impro01_M003,Ses05F_impro01_M000,Ses05F_impro01_F004,neu,neu,fru,4,1,0,0,0
Ses05F_impro01_F005,Ses05F_impro01_F004,Ses05F_impro01_M003,fru,fru,neu,2,1,0,0,0
Ses05F_impro01_M004,Ses05F_impro01_M003,Ses05F_impro01_F005,fru,neu,fru,2,1,1,0,0
Ses05F_impro01_M008,Ses05F_impro01_M007,Ses05F_impro01_F009,fru,fru,neu,2,1,0,0,0
Ses05F_impro01_F010,Ses05F_impro01_F009,Ses05F_impro01_M008,fru,neu,fru,2,1,1,0,0
Ses05F_impro01_M018,Ses05F_impro01_M017,Ses05F_impro01_F018,fru,fru,ang,2,1,0,0,0
Ses05F_impro01_F019,Ses05F_impro01_F018,Ses05F_impro01_M018,ang,ang,fru,2,1,0,0,0
Ses05F_impro01_M019,Ses05F_impro01_M018,Ses05F_impro01_F019,fru,fru,ang,2,1,0,0,0
Ses05F_impro01_F020,Ses05F_impro01_F019,Ses05F_impro01_M019,fru,ang,fru,2,1,1,0,0
Ses05F_impro01_M021,Ses05F_impro01_M020,Ses05F_impro01_F021,fru,fru,ang,2,1,0,0,0
Ses05F_impro01_F022,Ses05F_impro01_F021,Ses05F_impro01_M021,fru,ang,fru,2,1,1,0,0
Ses05F_impro02_F002,Ses05F_impro02_F001,Ses05F_impro02_M000,sad,sad,neu,1,2,0,0,0
Ses05F_impro02_F004,Ses05F_impro02_F002,Ses05F_impro02_M000,sad,sad,neu,1,3,0,0,0
Ses05F_impro02_F006,Ses05F_impro02_F004,Ses05F_impro02_M000,sad,sad,neu,1,4,0,0,0
Ses05F_impro02_M005,Ses05F_impro02_M004,Ses05F_impro02_F006,ang,ang,sad,1,2,0,0,0
Ses05F_impro02_F009,Ses05F_impro02_F006,Ses05F_impro02_M006,sad,sad,fru,4,1,0,0,0
Ses05F_impro02_M008,Ses05F_impro02_M006,Ses05F_impro02_F009,fru,fru,sad,2,1,0,0,0
Ses05F_impro02_F010,Ses05F_impro02_F009,Ses05F_impro02_M008,sad,sad,fru,2,1,0,0,0
Ses05F_impro02_F011,Ses05F_impro02_F010,Ses05F_impro02_M008,sad,sad,fru,1,2,0,0,0
Ses05F_impro02_F012,Ses05F_impro02_F011,Ses05F_impro02_M010,sad,sad,ang,2,1,0,0,0
Ses05F_impro02_F013,Ses05F_impro02_F012,Ses05F_impro02_M010,sad,sad,ang,1,2,0,0,0
Ses05F_impro02_M014,Ses05F_impro02_M010,Ses05F_impro02_F014,ang,ang,fru,4,1,0,0,0
Ses05F_impro02_F015,Ses05F_impro02_F014,Ses05F_impro02_M014,fru,fru,ang,2,1,0,0,0
Ses05F_impro02_M015,Ses05F_impro02_M014,Ses05F_impro02_F015,ang,ang,fru,2,1,0,0,0
Ses05F_impro02_M016,Ses05F_impro02_M015,Ses05F_impro02_F015,fru,ang,fru,1,2,1,0,0
Ses05F_impro02_M025,Ses05F_impro02_M016,Ses05F_impro02_F022,sad,fru,sad,5,1,1,0,0
