center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift
Ses01F_impro01_F000,pad,pad,neu,pad,pad,None,None,0
Ses01F_impro01_M000,pad,Ses01F_impro01_F000,fru,pad,neu,None,1,0
Ses01F_impro01_F001,Ses01F_impro01_F000,Ses01F_impro01_M000,neu,neu,fru,2,1,0
Ses01F_impro01_M001,Ses01F_impro01_M000,Ses01F_impro01_F001,fru,fru,neu,2,1,0
Ses01F_impro01_F002,Ses01F_impro01_F001,Ses01F_impro01_M001,neu,neu,fru,2,1,0
Ses01F_impro01_M002,Ses01F_impro01_M001,Ses01F_impro01_F002,fru,fru,neu,2,1,0
Ses01F_impro01_M003,Ses01F_impro01_M002,Ses01F_impro01_F002,fru,fru,neu,1,2,0
Ses01F_impro01_F005,Ses01F_impro01_F002,Ses01F_impro01_M003,neu,neu,fru,3,1,0
Ses01F_impro01_M004,Ses01F_impro01_M003,Ses01F_impro01_F005,fru,fru,neu,2,1,0
Ses01F_impro01_M005,Ses01F_impro01_M004,Ses01F_impro01_F005,fru,fru,neu,1,2,0
Ses01F_impro01_F006,Ses01F_impro01_F005,Ses01F_impro01_M005,fru,neu,fru,3,1,1
Ses01F_impro01_M006,Ses01F_impro01_M005,Ses01F_impro01_F006,fru,fru,fru,2,1,0
Ses01F_impro01_F007,Ses01F_impro01_F006,Ses01F_impro01_M006,fru,fru,fru,2,1,0
Ses01F_impro01_M007,Ses01F_impro01_M006,Ses01F_impro01_F007,fru,fru,fru,2,1,0
Ses01F_impro01_F008,Ses01F_impro01_F007,Ses01F_impro01_M007,fru,fru,fru,2,1,0
Ses01F_impro01_M008,Ses01F_impro01_M007,Ses01F_impro01_F008,fru,fru,fru,2,1,0
Ses01F_impro01_F009,Ses01F_impro01_F008,Ses01F_impro01_M008,fru,fru,fru,2,1,0
Ses01F_impro01_M009,Ses01F_impro01_M008,Ses01F_impro01_F009,fru,fru,fru,2,1,0
Ses01F_impro01_F011,Ses01F_impro01_F009,Ses01F_impro01_M009,fru,fru,fru,2,1,0
Ses01F_impro01_M010,Ses01F_impro01_M009,Ses01F_impro01_F011,fru,fru,fru,2,1,0
Ses01F_impro01_F012,Ses01F_impro01_F011,Ses01F_impro01_M010,ang,fru,fru,2,1,1
