center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses05F_impro01_F000,pad,pad,neu,pad,pad,None,None,0,None,None
Ses05F_impro01_M000,pad,Ses05F_impro01_F000,neu,pad,neu,None,1,0,None,0
Ses05F_impro01_F018,Ses05F_impro01_F017,Ses05F_impro01_M018,ang,ang,fru,2,1,0,0,0
Ses05F_impro02_M000,pad,Ses05F_impro02_F000,neu,pad,xxx,None,1,0,None,0
Ses05F_impro02_F002,Ses05F_impro02_F001,Ses05F_impro02_M001,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_F005,Ses05F_impro02_F004,Ses05F_impro02_M003,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_M005,Ses05F_impro02_M004,Ses05F_impro02_F006,ang,ang,fea,2,1,0,0,0
Ses05F_impro02_F009,Ses05F_impro02_F008,Ses05F_impro02_M008,sad,sad,fru,3,1,0,0,0
Ses05F_impro02_F010,Ses05F_impro02_F009,Ses05F_impro02_M009,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_F011,Ses05F_impro02_F010,Ses05F_impro02_M010,sad,sad,ang,2,1,0,0,0
Ses05F_impro02_F012,Ses05F_impro02_F011,Ses05F_impro02_M011,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_M015,Ses05F_impro02_M014,Ses05F_impro02_F014,ang,ang,fru,2,1,0,0,0
Ses05F_impro02_M025,Ses05F_impro02_M024,Ses05F_impro02_F022,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_M026,Ses05F_impro02_M025,Ses05F_impro02_F023,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F024,Ses05F_impro02_F023,Ses05F_impro02_M026,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F028,Ses05F_impro02_F027,Ses05F_impro02_M030,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_F029,Ses05F_impro02_F028,Ses05F_impro02_M031,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M032,Ses05F_impro02_M031,Ses05F_impro02_F029,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M033,Ses05F_impro02_M032,Ses05F_impro02_F030,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_M034,Ses05F_impro02_M033,Ses05F_impro02_F030,sad,sad,xxx,1,2,0,0,0
Ses05F_impro02_M035,Ses05F_impro02_M034,Ses05F_impro02_F031,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F032,Ses05F_impro02_F031,Ses05F_impro02_M035,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_M036,Ses05F_impro02_M035,Ses05F_impro02_F032,sad,sad,sad,2,1,0,0,0
Ses05F_impro02_F035,Ses05F_impro02_F034,Ses05F_impro02_M038,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_F036,Ses05F_impro02_F035,Ses05F_impro02_M039,sad,sad,sur,2,1,0,0,0
Ses05F_impro02_F037,Ses05F_impro02_F036,Ses05F_impro02_M040,sad,sad,xxx,2,1,0,0,0
Ses05F_impro02_F038,Ses05F_impro02_F037,Ses05F_impro02_M041,sad,sad,sad,2,1,0,0,0
Ses05F_impro03_F000,pad,pad,hap,pad,pad,None,None,0,None,None
Ses05F_impro03_M000,pad,Ses05F_impro03_F000,hap,pad,hap,None,1,0,None,0
Ses05F_impro03_M001,Ses05F_impro03_M000,Ses05F_impro03_F000,hap,hap,hap,1,2,0,0,0
Ses05F_impro03_F001,Ses05F_impro03_F000,Ses05F_impro03_M001,hap,hap,hap,3,1,0,0,0
Ses05F_impro03_F002,Ses05F_impro03_F001,Ses05F_impro03_M002,hap,hap,sur,2,1,0,0,0
