center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
Ses01F_impro02_F002,Ses01F_impro02_F001,Ses01F_impro02_M001,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_M010,Ses01F_impro02_M009,Ses01F_impro02_F012,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F013,Ses01F_impro02_F012,Ses01F_impro02_M010,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_M011,Ses01F_impro02_M010,Ses01F_impro02_F013,sad,sad,sad,2,1,0,0,0
Ses01F_impro02_F014,Ses01F_impro02_F013,Ses01F_impro02_M011,sad,sad,sad,2,1,0,0,0
Ses01F_impro03_M015,Ses01F_impro03_M014,Ses01F_impro03_F015,hap,hap,hap,2,1,0,0,0
Ses01F_impro03_F016,Ses01F_impro03_F015,Ses01F_impro03_M015,hap,hap,hap,2,1,0,0,0
Ses01F_impro03_M021,Ses01F_impro03_M020,Ses01F_impro03_F022,neu,neu,neu,2,1,0,0,0
Ses01F_impro03_F023,Ses01F_impro03_F022,Ses01F_impro03_M021,neu,neu,neu,2,1,0,0,0
Ses01F_impro03_M023,Ses01F_impro03_M022,Ses01F_impro03_F024,hap,hap,hap,1,2,0,0,0
Ses01F_impro03_F025,Ses01F_impro03_F024,Ses01F_impro03_M023,hap,hap,hap,3,1,0,0,0
Ses01F_impro04_M001,Ses01F_impro04_M000,Ses01F_impro04_F000,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_F001,Ses01F_impro04_F000,Ses01F_impro04_M001,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_M002,Ses01F_impro04_M001,Ses01F_impro04_F001,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_F006,Ses01F_impro04_F005,Ses01F_impro04_M006,neu,neu,neu,1,2,0,0,0
Ses01F_impro04_M007,Ses01F_impro04_M006,Ses01F_impro04_F006,neu,neu,neu,3,1,0,0,0
Ses01F_impro04_M010,Ses01F_impro04_M009,Ses01F_impro04_F009,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_M014,Ses01F_impro04_M013,Ses01F_impro04_F013,neu,neu,neu,2,1,0,0,0
Ses01F_impro04_F014,Ses01F_impro04_F013,Ses01F_impro04_M014,neu,neu,neu,2,1,0,0,0
Ses01F_impro06_F006,Ses01F_impro06_F005,Ses01F_impro06_M003,sad,sad,sad,1,4,0,0,0
Ses01F_impro06_M005,Ses01F_impro06_M004,Ses01F_impro06_F009,neu,neu,neu,4,1,0,0,0
Ses01F_impro06_F013,Ses01F_impro06_F012,Ses01F_impro06_M007,sad,sad,sad,2,1,0,0,0
Ses01F_impro06_M010,Ses01F_impro06_M009,Ses01F_impro06_F016,neu,neu,neu,3,1,0,0,0
Ses01F_impro06_M011,Ses01F_impro06_M010,Ses01F_impro06_F016,neu,neu,neu,1,2,0,0,0
Ses01F_impro06_M013,Ses01F_impro06_M012,Ses01F_impro06_F018,neu,neu,neu,2,1,0,0,0
Ses01F_impro06_F019,Ses01F_impro06_F018,Ses01F_impro06_M013,neu,neu,neu,2,1,0,0,0
Ses01F_impro07_M001,Ses01F_impro07_M000,Ses01F_impro07_F000,hap,hap,hap,2,1,0,0,0
Ses01F_impro07_M002,Ses01F_impro07_M001,Ses01F_impro07_F000,hap,hap,hap,1,2,0,0,0
Ses01F_impro07_M004,Ses01F_impro07_M003,Ses01F_impro07_F002,hap,hap,hap,2,1,0,0,0
Ses01F_impro07_F003,Ses01F_impro07_F002,Ses01F_impro07_M004,hap,hap,hap,2,1,0,0,0
Ses01F_impro07_F004,Ses01F_impro07_F003,Ses01F_impro07_M004,hap,hap,hap,1,2,0,0,0
Ses01F_impro07_M005,Ses01F_impro07_M004,Ses01F_impro07_F004,hap,hap,hap,3,1,0,0,0
Ses01F_impro07_F005,Ses01F_impro07_F004,Ses01F_impro07_M005,hap,hap,hap,2,1,0,0,0
Ses01F_impro07_M015,Ses01F_impro07_M014,Ses01F_impro07_F012,hap,hap,hap,2,1,0,0,0
Ses01F_impro07_F013,Ses01F_impro07_F012,Ses01F_impro07_M015,hap,hap,hap,2,1,0,0,0
Ses01F_script01_1_M004,Ses01F_script01_1_M003,Ses01F_script01_1_F005,neu,neu,neu,2,1,0,0,0
Ses01F_script01_1_M015,Ses01F_script01_1_M014,Ses01F_script01_1_F015,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F001,Ses01F_script01_3_F000,Ses01F_script01_3_M000,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F002,Ses01F_script01_3_F001,Ses01F_script01_3_M000,neu,neu,neu,1,2,0,0,0
Ses01F_script01_3_M001,Ses01F_script01_3_M000,Ses01F_script01_3_F002,neu,neu,neu,3,1,0,0,0
Ses01F_script01_3_F003,Ses01F_script01_3_F002,Ses01F_script01_3_M001,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F005,Ses01F_script01_3_F004,Ses01F_script01_3_M003,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_M004,Ses01F_script01_3_M003,Ses01F_script01_3_F005,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F006,Ses01F_script01_3_F005,Ses01F_script01_3_M004,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_M005,Ses01F_script01_3_M004,Ses01F_script01_3_F006,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F007,Ses01F_script01_3_F006,Ses01F_script01_3_M005,neu,neu,neu,2,1,0,0,0
Ses01F_script01_3_F011,Ses01F_script01_3_F010,Ses01F_script01_3_M008,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_M009,Ses01F_script01_3_M008,Ses01F_script01_3_F011,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_F012,Ses01F_script01_3_F011,Ses01F_script01_3_M009,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_M010,Ses01F_script01_3_M009,Ses01F_script01_3_F012,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_F013,Ses01F_script01_3_F012,Ses01F_script01_3_M010,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_F021,Ses01F_script01_3_F020,Ses01F_script01_3_M019,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_M020,Ses01F_script01_3_M019,Ses01F_script01_3_F021,hap,hap,hap,2,1,0,0,0
Ses01F_script01_3_M028,Ses01F_script01_3_M027,Ses01F_script01_3_F030,sad,sad,sad,2,1,0,0,0
Ses01F_script01_3_M029,Ses01F_script01_3_M028,Ses01F_script01_3_F030,sad,sad,sad,1,2,0,0,0
Ses01F_script01_3_M030,Ses01F_script01_3_M029,Ses01F_script01_3_F030,sad,sad,sad,1,3,0,0,0
Ses01F_script02_1_M008,Ses01F_script02_1_M007,Ses01F_script02_1_F004,neu,neu,neu,2,1,0,0,0
Ses01F_script02_1_M014,Ses01F_script02_1_M013,Ses01F_script02_1_F008,neu,neu,neu,2,1,0,0,0
Ses01F_script02_1_M015,Ses01F_script02_1_M014,Ses01F_script02_1_F008,neu,neu,neu,1,2,0,0,0
Ses01F_script02_2_M023,Ses01F_script02_2_M022,Ses01F_script02_2_F023,neu,neu,neu,2,1,0,0,0
Ses01F_script02_2_F036,Ses01F_script02_2_F035,Ses01F_script02_2_M037,sad,sad,sad,2,1,0,0,0
Ses01F_script02_2_M038,Ses01F_script02_2_M037,Ses01F_script02_2_F036,sad,sad,sad,2,1,0,0,0
Ses01F_script02_2_F043,Ses01F_script02_2_F042,Ses01F_script02_2_M044,hap,hap,hap,3,1,0,0,0
Ses01F_script03_1_M008,Ses01F_script03_1_M007,Ses01F_script03_1_F005,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_F006,Ses01F_script03_1_F005,Ses01F_script03_1_M008,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_M009,Ses01F_script03_1_M008,Ses01F_script03_1_F006,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_F007,Ses01F_script03_1_F006,Ses01F_script03_1_M009,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_M010,Ses01F_script03_1_M009,Ses01F_script03_1_F007,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_F011,Ses01F_script03_1_F010,Ses01F_script03_1_M013,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_M025,Ses01F_script03_1_M024,Ses01F_script03_1_F020,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_F021,Ses01F_script03_1_F020,Ses01F_script03_1_M025,hap,hap,hap,2,1,0,0,0
Ses01F_script03_1_M026,Ses01F_script03_1_M025,Ses01F_script03_1_F021,hap,hap,hap,2,1,0,0,0
