center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift
train_dia0_utt0_spk0,pad,pad,neutral,pad,pad,None,None,0.0
train_dia0_utt1_spk1,train_dia0_utt0_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt2_spk0,train_dia0_utt1_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt3_spk1,train_dia0_utt2_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt5_spk1,train_dia0_utt3_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt6_spk0,train_dia0_utt5_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt7_spk1,train_dia0_utt6_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt8_spk0,train_dia0_utt7_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt9_spk1,train_dia0_utt8_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt11_spk1,train_dia0_utt9_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia0_utt13_spk1,train_dia0_utt11_spk1,pad,neutral,neutral,pad,1,None,0.0
train_dia1_utt1_spk3,pad,pad,sadness,pad,pad,None,None,0.0
train_dia1_utt4_spk2,train_dia1_utt1_spk3,pad,neutral,sadness,pad,1,None,1.0
train_dia1_utt5_spk2,train_dia1_utt4_spk2,pad,neutral,neutral,pad,1,None,0.0
train_dia1_utt8_spk3,train_dia1_utt5_spk2,pad,neutral,neutral,pad,1,None,0.0
train_dia2_utt0_spk0,pad,pad,neutral,pad,pad,None,None,0.0
train_dia2_utt1_spk4,train_dia2_utt0_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia2_utt2_spk0,train_dia2_utt1_spk4,pad,joy,neutral,pad,1,None,1.0
train_dia2_utt3_spk4,train_dia2_utt2_spk0,pad,sadness,joy,pad,1,None,1.0
train_dia2_utt5_spk4,train_dia2_utt3_spk4,pad,neutral,sadness,pad,1,None,1.0
train_dia2_utt7_spk4,train_dia2_utt5_spk4,pad,sadness,neutral,pad,1,None,1.0
train_dia2_utt8_spk0,train_dia2_utt7_spk4,pad,neutral,sadness,pad,1,None,1.0
train_dia2_utt9_spk4,train_dia2_utt8_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia2_utt10_spk0,train_dia2_utt9_spk4,pad,joy,neutral,pad,1,None,1.0
train_dia2_utt11_spk4,train_dia2_utt10_spk0,pad,neutral,joy,pad,1,None,1.0
train_dia2_utt12_spk0,train_dia2_utt11_spk4,pad,joy,neutral,pad,1,None,1.0
train_dia3_utt3_spk5,pad,pad,neutral,pad,pad,None,None,0.0
train_dia3_utt4_spk5,train_dia3_utt3_spk5,pad,neutral,neutral,pad,1,None,0.0
train_dia3_utt5_spk5,train_dia3_utt4_spk5,pad,neutral,neutral,pad,1,None,0.0
train_dia3_utt8_spk5,train_dia3_utt5_spk5,pad,sadness,neutral,pad,1,None,1.0
train_dia3_utt9_spk2,train_dia3_utt8_spk5,pad,neutral,sadness,pad,1,None,1.0
train_dia4_utt1_spk6,pad,pad,joy,pad,pad,None,None,0.0
train_dia4_utt3_spk6,train_dia4_utt1_spk6,pad,neutral,joy,pad,1,None,1.0
train_dia4_utt4_spk3,train_dia4_utt3_spk6,pad,neutral,neutral,pad,1,None,0.0
train_dia4_utt5_spk6,train_dia4_utt4_spk3,pad,neutral,neutral,pad,1,None,0.0
train_dia4_utt6_spk3,train_dia4_utt5_spk6,pad,neutral,neutral,pad,1,None,0.0
train_dia4_utt7_spk6,train_dia4_utt6_spk3,pad,neutral,neutral,pad,1,None,0.0
train_dia4_utt8_spk3,train_dia4_utt7_spk6,pad,joy,neutral,pad,1,None,1.0
train_dia4_utt9_spk6,train_dia4_utt8_spk3,pad,joy,joy,pad,1,None,0.0
train_dia4_utt10_spk3,train_dia4_utt9_spk6,pad,joy,joy,pad,1,None,0.0
train_dia4_utt11_spk6,train_dia4_utt10_spk3,pad,sadness,joy,pad,1,None,1.0
train_dia4_utt12_spk3,train_dia4_utt11_spk6,pad,neutral,sadness,pad,1,None,1.0
train_dia4_utt13_spk6,train_dia4_utt12_spk3,pad,neutral,neutral,pad,1,None,0.0
train_dia4_utt14_spk3,train_dia4_utt13_spk6,pad,neutral,neutral,pad,1,None,0.0
train_dia5_utt0_spk5,pad,pad,neutral,pad,pad,None,None,0.0
train_dia5_utt1_spk2,train_dia5_utt0_spk5,pad,neutral,neutral,pad,1,None,0.0
train_dia5_utt2_spk5,train_dia5_utt1_spk2,pad,neutral,neutral,pad,1,None,0.0
train_dia6_utt0_spk0,pad,pad,joy,pad,pad,None,None,0.0
train_dia6_utt2_spk0,train_dia6_utt0_spk0,pad,joy,joy,pad,1,None,0.0
train_dia6_utt3_spk2,train_dia6_utt2_spk0,pad,neutral,joy,pad,1,None,1.0
train_dia6_utt4_spk0,train_dia6_utt3_spk2,pad,neutral,neutral,pad,1,None,0.0
train_dia6_utt5_spk2,train_dia6_utt4_spk0,pad,anger,neutral,pad,1,None,1.0
train_dia6_utt6_spk0,train_dia6_utt5_spk2,pad,joy,anger,pad,1,None,1.0
train_dia6_utt7_spk2,train_dia6_utt6_spk0,pad,neutral,joy,pad,1,None,1.0
train_dia6_utt9_spk2,train_dia6_utt7_spk2,pad,anger,neutral,pad,1,None,1.0
train_dia6_utt10_spk2,train_dia6_utt9_spk2,pad,anger,anger,pad,1,None,0.0
train_dia6_utt11_spk2,train_dia6_utt10_spk2,pad,anger,anger,pad,1,None,0.0
train_dia6_utt12_spk2,train_dia6_utt11_spk2,pad,neutral,anger,pad,1,None,1.0
train_dia6_utt13_spk2,train_dia6_utt12_spk2,pad,neutral,neutral,pad,1,None,0.0
train_dia6_utt14_spk0,train_dia6_utt13_spk2,pad,sadness,neutral,pad,1,None,1.0
train_dia6_utt15_spk0,train_dia6_utt14_spk0,pad,sadness,sadness,pad,1,None,0.0
train_dia6_utt16_spk0,train_dia6_utt15_spk0,pad,sadness,sadness,pad,1,None,0.0
train_dia6_utt18_spk0,train_dia6_utt16_spk0,pad,anger,sadness,pad,1,None,1.0
train_dia6_utt19_spk0,train_dia6_utt18_spk0,pad,anger,anger,pad,1,None,0.0
train_dia6_utt20_spk0,train_dia6_utt19_spk0,pad,anger,anger,pad,1,None,0.0
train_dia6_utt21_spk0,train_dia6_utt20_spk0,pad,anger,anger,pad,1,None,0.0
train_dia7_utt0_spk2,pad,pad,neutral,pad,pad,None,None,0.0
train_dia7_utt1_spk6,train_dia7_utt0_spk2,pad,anger,neutral,pad,1,None,1.0
train_dia8_utt0_spk5,pad,pad,neutral,pad,pad,None,None,0.0
train_dia8_utt1_spk5,train_dia8_utt0_spk5,pad,neutral,neutral,pad,1,None,0.0
train_dia8_utt2_spk0,train_dia8_utt1_spk5,pad,neutral,neutral,pad,1,None,0.0
train_dia8_utt3_spk8,train_dia8_utt2_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia8_utt4_spk0,train_dia8_utt3_spk8,pad,joy,neutral,pad,1,None,1.0
train_dia8_utt5_spk8,train_dia8_utt4_spk0,pad,neutral,joy,pad,1,None,1.0
train_dia8_utt6_spk0,train_dia8_utt5_spk8,pad,joy,neutral,pad,1,None,1.0
train_dia9_utt0_spk0,pad,pad,neutral,pad,pad,None,None,0.0
train_dia9_utt1_spk9,train_dia9_utt0_spk0,pad,neutral,neutral,pad,1,None,0.0
train_dia9_utt2_spk9,train_dia9_utt1_spk9,pad,neutral,neutral,pad,1,None,0.0
train_dia9_utt3_spk0,train_dia9_utt2_spk9,pad,joy,neutral,pad,1,None,1.0
train_dia9_utt4_spk6,train_dia9_utt3_spk0,pad,neutral,joy,pad,1,None,1.0
train_dia9_utt5_spk0,train_dia9_utt4_spk6,pad,neutral,neutral,pad,1,None,0.0
