center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
test_dia1_utt0_spk2,pad,pad,neutral,pad,pad,None,None,0,None,None
test_dia1_utt2_spk2,test_dia1_utt1_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia1_utt3_spk2,test_dia1_utt2_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia1_utt4_spk2,test_dia1_utt3_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia1_utt5_spk2,test_dia1_utt4_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia1_utt6_spk2,test_dia1_utt5_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia1_utt7_spk2,test_dia1_utt6_spk2,pad,joy,joy,pad,1,None,0,0,0
test_dia2_utt0_spk3,pad,pad,neutral,pad,pad,None,None,0,None,None
test_dia2_utt1_spk1,test_dia2_utt0_spk3,pad,neutral,neutral,pad,1,None,0,0,0
test_dia2_utt5_spk3,test_dia2_utt4_spk1,pad,anger,anger,pad,1,None,0,0,0
test_dia2_utt6_spk3,test_dia2_utt5_spk3,pad,anger,anger,pad,1,None,0,0,0
test_dia2_utt8_spk3,test_dia2_utt7_spk3,pad,joy,joy,pad,1,None,0,0,0
test_dia2_utt10_spk3,test_dia2_utt9_spk3,pad,neutral,neutral,pad,1,None,0,0,0
test_dia3_utt0_spk4,pad,pad,neutral,pad,pad,None,None,0,None,None
test_dia3_utt3_spk3,test_dia3_utt2_spk4,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt0_spk7,pad,pad,anger,pad,pad,None,None,0,None,None
test_dia5_utt2_spk8,test_dia5_utt1_spk7,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt3_spk7,test_dia5_utt2_spk8,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt4_spk8,test_dia5_utt3_spk7,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt5_spk7,test_dia5_utt4_spk8,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt6_spk8,test_dia5_utt5_spk7,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt7_spk7,test_dia5_utt6_spk8,pad,neutral,neutral,pad,1,None,0,0,0
test_dia5_utt8_spk2,test_dia5_utt7_spk7,pad,neutral,neutral,pad,1,None,0,0,0
test_dia6_utt0_spk2,pad,pad,neutral,pad,pad,None,None,0,None,None
test_dia6_utt1_spk6,test_dia6_utt0_spk2,pad,neutral,neutral,pad,1,None,0,0,0
test_dia7_utt0_spk6,pad,pad,neutral,pad,pad,None,None,0,None,None
test_dia7_utt1_spk5,test_dia7_utt0_spk6,pad,neutral,neutral,pad,1,None,0,0,0
test_dia7_utt2_spk2,test_dia7_utt1_spk5,pad,neutral,neutral,pad,1,None,0,0,0
test_dia7_utt3_spk7,test_dia7_utt2_spk2,pad,neutral,neutral,pad,1,None,0,0,0
test_dia7_utt8_spk2,test_dia7_utt7_spk3,pad,neutral,neutral,pad,1,None,0,0,0
test_dia8_utt0_spk9,pad,pad,sadness,pad,pad,None,None,0,None,None
test_dia8_utt5_spk7,test_dia8_utt4_spk7,pad,neutral,neutral,pad,1,None,0,0,0
