center,target,opposite,center_label,target_label,opposite_label,target_dist,opposite_dist,self_emo_shift,self_time_dur,closest_time_dur
test_dia0_utt1_spk1,test_dia0_utt0_spk0,pad,anger,surprise,pad,1,None,1,0,0
test_dia0_utt2_spk1,test_dia0_utt1_spk1,pad,neutral,anger,pad,1,None,1,0,0
test_dia1_utt1_spk2,test_dia1_utt0_spk2,pad,joy,neutral,pad,1,None,1,0,0
test_dia2_utt2_spk3,test_dia2_utt1_spk1,pad,sadness,neutral,pad,1,None,1,0,0
test_dia2_utt4_spk1,test_dia2_utt3_spk3,pad,anger,surprise,pad,1,None,1,0,0
test_dia2_utt7_spk3,test_dia2_utt6_spk3,pad,joy,anger,pad,1,None,1,0,0
test_dia2_utt9_spk3,test_dia2_utt8_spk3,pad,neutral,joy,pad,1,None,1,0,0
test_dia3_utt2_spk4,test_dia3_utt1_spk3,pad,neutral,fear,pad,1,None,1,0,0
test_dia3_utt4_spk4,test_dia3_utt3_spk3,pad,anger,neutral,pad,1,None,1,0,0
test_dia3_utt6_spk5,test_dia3_utt5_spk3,pad,neutral,disgust,pad,1,None,1,0,0
test_dia4_utt1_spk6,test_dia4_utt0_spk5,pad,neutral,surprise,pad,1,None,1,0,0
test_dia4_utt4_spk5,test_dia4_utt3_spk6,pad,neutral,surprise,pad,1,None,1,0,0
test_dia4_utt7_spk2,test_dia4_utt6_spk6,pad,anger,disgust,pad,1,None,1,0,0
test_dia4_utt8_spk2,test_dia4_utt7_spk2,pad,neutral,anger,pad,1,None,1,0,0
test_dia5_utt1_spk7,test_dia5_utt0_spk7,pad,neutral,anger,pad,1,None,1,0,0
test_dia7_utt5_spk3,test_dia7_utt4_spk6,pad,neutral,surprise,pad,1,None,1,0,0
test_dia7_utt7_spk3,test_dia7_utt6_spk6,pad,neutral,surprise,pad,1,None,1,0,0
test_dia8_utt1_spk7,test_dia8_utt0_spk9,pad,joy,sadness,pad,1,None,1,0,0
